after his arrest|||after its discontinuation
distance of|||separated from
Started treatment|||Initiation of
Adaptation possible|||Possibly adjus
hyperkaliémiants|||hyperkalemiants
hypokaliémiants|||hypokalemiants
excretion uniraire|||urinary excretion of
hyperréflexivité|||hyperreflexia
v igil|||alertness
void making alcoholic beverages|||void taking alcoholic beverages
Surcharge alcohol|||Alcohol may
inductor|||inducer
Start Association the|||Start association using the
Start l association|||Start association
containing .. alcohol|||containing alcohol
containing ... alcohol|||containing alcohol
Cons-pointer|||Contraindication
Association recommended|||Association not recommended
